Name,Uid,Gid
antoreyn,1346,5001
laurbuss,1347,5001
alixaith,1348,5001
colopeyr,1349,5000
mattlarr,1350,5002
lucibale,1351,5000
alixahad,1352,5001
alisgoug,1353,5002
sylvgiud,1354,5001
arnahamo,1355,10
isabbail,1356,5002
auretour,1357,5002
chribous,1358,5001
cpreviconso,1359,5000
mathbiha,1360,5001
alaixxxx,1361,5001
gamedavi,1362,5000
penanico,1363,5002
mandthie,1364,5001
lestcyri,1365,5002
alphrako,1366,5002
saadhait,1367,5002
willbaye,1368,5002
davigame,1369,5000
nicopena,1370,5002
thiemand,1371,5001
cyrilest,1372,5002
daviperb,1373,5001
sylvmara,1374,5001
maurmfou,1375,5001
franguil,1376,5001
hassahma,1377,10
nicoduch,1378,5002
edoudumo,1379,5002
hadrgoda,1380,5002
mamakebe,1381,5002
piersaik,1382,5002
ayhauyan,1383,5001
ftpenr,1384,1011
thiebarr,1385,5001
piermarq,1386,5001
damijean,1387,5000
gabrjouf,1388,5002
adribrou,1389,5001
cedrtheb,1390,5000
pmargibe,1391,5002
fabrducl,1392,5002
florkebe,1393,5002
franespi,1394,5000
gerapays,1395,5001
michtheo,1396,5000
manuruiz,1397,5000
paulgres,1398,5002
ftpenrrecette,1399,1011
adripell,1402,10
ftpucte-rte,1401,1011
fredbien,1112,5000
topase,1115,5000
xinhzhan,1173,5001
martbuss,1402,5001
rudynoyo,1403,10
marilixx,1404,5002
romafran,1405,5001
marjcoss,1406,5000
albeteje,1407,5000
jerebert,1408,5001
weixding,1409,5001
taresakk,1410,5002
basseche,1411,5001
gilbbitt,1412,5001
sebamarc,1413,10
lassdans,1414,5001
gitlab,55009,55009
maxifort,1415,5000
ericmayi,1416,10
frannico,1417,5000
lxxxamir,1418,10
aurehave,1419,5000
thommand,1420,5000
franseri,1421,5000
hubepich,1422,5001
jeropiga,1423,5000
corexxxx,1424,5001
tangjans,1425,5000
lydipend,1426,5000
olivbeck,1427,5000
marcchia,1428,5000
philclau,1429,5000
vlixnguy,1430,5001
lionfigu,1431,5000
xaviblan,1432,5002
maxilaas,1433,5000
piergout,1434,5000
saidjuli,1435,5000
julisaid,1436,5002
samitazi,1437,5000
mohalafr,1438,5000
aurebrio,1439,5001
julivass,1440,5001
lucaberb,1441,5001
andramad,1442,5002
lucigarn,1443,5002
fabigour,1444,5001
ftppopcorn,1445,1011
thiebeno,1446,5001
titorobe,1447,5001
seifbtem,1448,5001
laurbern,1449,5002
clemstra,1450,5002
manthube,1452,5002
julisilw,1452,5002
mathfran,1453,5002
khaleaab,1454,5002
thomhegg,1455,5001
jeffpeti,1456,5001
guilparl,1457,5002
inesberb,1458,5002
jimmmich,1459,5001
naouel-a,1460,5001
hugodosx,1461,5001
stevmari,1462,5001
monibise,1463,5000
cedrrull,1464,5001
piergera,1465,5001
danipart,1467,10
penaboss,1467,5001
fernrodr,1468,5001
mahdchek,1469,5001
mohaabba,1470,5001
sandbort,1471,5002
ftpapogee,1472,1011
julisliw,1473,5002
bellamad,1474,5002
jlucbell,1475,5000
vinclaur,1476,5001
davigohe,1477,5001
carmcard,1478,5000
romaloss,1479,5000
dieydiao,1480,5001
thomguil,1481,10
alixtaha,1482,5001
robihuar,1483,5001
fabiarav,1484,5001
raphjour,1486,5002
josearau,1485,5002
